anno;mes;dia;hora;ndig;reflectancia;rmin;rmax;nc;N;Hext;brilloSolarC;dj
2012.0;1.0;1.0;7.0;83.0;0.0832055976331647;0.0090905727953887;0.2849427415610046;0.2686766073633792;11.808313742428178;9540.16376021704;0.7313233926366207;1.0
2012.0;1.0;1.0;10.0;148.0;0.2474041371357187;0.0959437969535486;0.9019934997025825;0.18790446751064402;11.808313742428178;9540.16376021704;0.812095532489356;1.0
2012.0;1.0;1.0;13.0;85.0;0.1321246769838465;-0.0739454419266923;1.1161965489755137;0.17314750717628583;11.808313742428178;9540.16376021704;0.8268524928237142;1.0
2012.0;1.0;1.0;16.0;61.0;0.0543458285443151;-0.0444021323580081;0.4830732212313118;0.18720867284200368;11.808313742428178;9540.16376021704;0.8127913271579963;1.0
2012.0;1.0;2.0;6.0;28.0;-0.0015190465528364;-0.0030384656579682;0.00475849622753112;0.19487322465402768;11.809050674092154;9547.44104307905;0.8051267753459723;2.0
2012.0;1.0;2.0;7.0;67.0;0.0585378270630421;0.0090905727953887;0.2849427415610046;0.1792527297824778;11.809050674092154;9547.44104307905;0.8207472702175223;2.0
2012.0;1.0;2.0;8.0;216.0;0.3082250959175039;0.0326821475402291;0.304129451062735;1.0;11.809050674092154;9547.44104307905;0.0;2.0
2012.0;1.0;2.0;9.0;327.0;0.5471792249781148;-0.0564960419593884;0.518517862541644;1.0;11.809050674092154;9547.44104307905;0.0;2.0
2012.0;1.0;2.0;10.0;480.0;0.9373006248641088;0.0959437969535486;0.9019934997025825;1.0;11.809050674092154;9547.44104307905;0.0;2.0
2012.0;1.0;2.0;11.0;516.0;1.1240502361199372;0.1442485333911582;0.8992401888959498;1.0;11.809050674092154;9547.44104307905;0.0;2.0
2012.0;1.0;2.0;12.0;526.0;1.2051117826053948;-0.066009883311318;1.0546451576083677;1.0;11.809050674092154;9547.44104307905;0.0;2.0
2012.0;1.0;2.0;13.0;482.0;1.0701054064624018;-0.0739454419266923;1.1161965489755137;0.9612725684284346;11.809050674092154;9547.44104307905;0.03872743157156544;2.0
2012.0;1.0;2.0;16.0;169.0;0.2379979713346755;-0.0444021323580081;0.4830732212313118;0.5353806614300197;11.809050674092154;9547.44104307905;0.4646193385699803;2.0
2012.0;1.0;3.0;6.0;27.0;-0.0030384656579682;-0.0030384656579682;0.00475849622753112;0.0;11.809857362443667;9555.27780614183;1.0;3.0
2012.0;1.0;3.0;7.0;80.0;0.0785437649752534;0.0090905727953887;0.2849427415610046;0.2517768574764304;11.809857362443667;9555.27780614183;0.7482231425235696;3.0
2012.0;1.0;3.0;8.0;165.0;0.2240509270098055;0.0326821475402291;0.304129451062735;0.7049942179798071;11.809857362443667;9555.27780614183;0.2950057820201929;3.0
2012.0;1.0;3.0;9.0;181.0;0.2789451082332249;-0.0564960419593884;0.518517862541644;0.5833618066743828;11.809857362443667;9555.27780614183;0.41663819332561725;3.0
2012.0;1.0;3.0;10.0;256.0;0.4716107120359377;0.0959437969535486;0.9019934997025825;0.46605924399100507;11.809857362443667;9555.27780614183;0.5339407560089949;3.0
2012.0;1.0;3.0;13.0;390.0;0.8538576414932634;-0.0739454419266923;1.1161965489755137;0.7795734378858609;11.809857362443667;9555.27780614183;0.22042656211413914;3.0
2012.0;1.0;3.0;16.0;180.0;0.2569497361681001;-0.0444021323580081;0.4830732212313118;0.5713098564236118;11.809857362443667;9555.27780614183;0.42869014357638824;3.0
2012.0;1.0;4.0;7.0;65.0;0.0554277083557107;0.0090905727953887;0.2849427415610046;0.16797814484356444;11.81073317102951;9563.664459587391;0.8320218551564356;4.0
2012.0;1.0;4.0;10.0;123.0;0.1952334196200164;0.0959437969535486;0.9019934997025825;0.12318052140933787;11.81073317102951;9563.664459587391;0.8768194785906621;4.0
2012.0;1.0;4.0;13.0;121.0;0.2178878894768529;-0.0739454419266923;1.1161965489755137;0.2452088352771389;11.81073317102951;9563.664459587391;0.7547911647228611;4.0
2012.0;1.0;4.0;16.0;78.0;0.0834622424261433;-0.0444021323580081;0.4830732212313118;0.24240824507547254;11.81073317102951;9563.664459587391;0.7575917549245275;4.0
2012.0;1.0;5.0;7.0;68.0;0.0600297147824251;0.0090905727953887;0.2849427415610046;0.18466101685906272;11.811677412071877;9572.590625444682;0.8153389831409372;5.0
2012.0;1.0;5.0;10.0;497.0;0.9717481252364956;0.0959437969535486;0.9019934997025825;1.0;11.811677412071877;9572.590625444682;0.0;5.0
2012.0;1.0;5.0;13.0;253.0;0.531223112608073;-0.0739454419266923;1.1161965489755137;0.5084843314166301;11.811677412071877;9572.590625444682;0.4915156685833699;5.0
2012.0;1.0;5.0;16.0;170.0;0.2403987739478415;-0.0444021323580081;0.4830732212313118;0.5399321586645904;11.811677412071877;9572.590625444682;0.46006784133540957;5.0
2012.0;1.0;6.0;7.0;109.0;0.12310148728507;0.0090905727953887;0.2849427415610046;0.41330439778616823;11.812689348250286;9582.045155610613;0.5866956022138318;6.0
2012.0;1.0;6.0;10.0;257.0;0.4733008379946954;0.0959437969535486;0.9019934997025825;0.4681560451597091;11.812689348250286;9582.045155610613;0.5318439548402909;6.0
2012.0;1.0;6.0;13.0;264.0;0.5580803592870062;-0.0739454419266923;1.1161965489755137;0.531050753645438;11.812689348250286;9582.045155610613;0.46894924635456203;6.0
